"01a112f9b1601d19a85fd029ef28eb1bd0019aad","1"
"1000161","1"
"1000283","1"
"100319","2"
"1003734","1"
"100433","1"
"1006203","13"
"1006433","1"
"100655","17"
"1007049","1"
"100818","2"
"100957","1"
"1010046","1"
"1010694","1"
"1010761","1"
"101114","1"
"1012594","9"
"1013206","1"
"1014377","1"
"101472","1"
"1014726","1"
"1015278","56"
"1016551","6"
"1017936","1"
"1017955","2"
"101851","3"
"1018764","1"
"1019324","2"
"102131","13"
"1021331","1"
"1021656","2"
"1021777","2"
"1022683","1"
"1025800","1"
"1025862","1"
"1026771","2"
"102928","1"
"102937","2"
"1030838","1"
"1031176","1"
"1031420","1"
"1031946","1"
"1032098","4"
"103375","1"
"1034083","1"
"1034126","3"
"1034277","6"
"103527","1"
"1035571","1"
"1037274","5"
"103748","23"
"103761","27"
"1038945","2"
"104034","1"
"104067","1"
"1041740","3"
"1047445","1"
"1047789","3"
"1048386","2"
"1048563","1"
"1050996","2"
"105143","1"
"105215","1"
"105275","7"
"105276","19"
"1053052","1"
"105461","4"
"1055103","2"
"1056375","1"
"1056411","4"
"1062530","1"
"1063792","1"
"1064693","4"
"106506","8"
"1069b78a70a2ca378050e2ebb6a6dc3d8be95394","1"
"107350","1"
"108261","33"
"108783","2"
"109093","1"
"109781","1"
"110014","1"
"110215","1"
"110526","1"
"110606","1"
"11139","11"
"111747","1"
"111805","1"
"11190","1"
"11193","1"
"11373","1"
"11375","23"
"11834","2"
"11845","1"
"11861","1"
"11938","1"
"12304","1"
"12349","5"
"12393","2"
"12618","1"
"12647","1"
"12658","4"
"12723","8"
"131621836","3"
"131622066","2"
"131623075","61"
"131623161","1"
"131623206","4"
"131623336","1"
"131623706","2"
"131624383","2"
"131624384","8"
"131624510","5"
"131624550","2"
"131624712","2"
"131624713","3"
"131624768","1"
"131624964","11"
"131625213","2"
"131625255","1"
"131625827","1"
"131625829","1"
"131625831","3"
"131625951","2"
"131626270","1"
"131626346","3"
"131626348","1225"
"131626693","1"
"131626765","1"
"131626815","4"
"131627010","1"
"13203","1"
"13442","3"
"1374\",\"ip\":\"42.113.153.117\",\"gift_type\":\"\",\"gift_amount\":\"\",\"external_campaign_id\":\"45306\",\"phid\":\"72076ec5\",\"waid\":\"\",\"gos\":\"android\",\"gcampaign_id\":\"1794\",\"gproduct_id\":\"2258","1"
"14014","1"
"14032","1"
"14121","5"
"14340","7"
"14442","534"
"14448","1"
"14654","4"
"14901","1"
"14917","2"
